NAICS,CTY_CODE,country,import_value,time,COMM_LVL,NAICS.1,month,total_import_value,country_share,country_share_ma3,share_volatility_12m,resilience_score,hhi,c5_share,supplier_count,import_price_index_overall,import_price_index_asian_nics,import_price_index_industrialized,domestic_producer_price_index
3344,5420,SRI LANKA,523269,2021-01-01,NA4,3344,2021-01-01,6472583060,8.084392199364067e-05,8.084392199364067e-05,,9999.191560780064,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,7230,TUNISIA,422895,2021-01-01,NA4,3344,2021-01-01,6472583060,6.533635738310633e-05,6.533635738310633e-05,,9999.346636426168,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4632,AZERBAIJAN,373926,2021-01-01,NA4,3344,2021-01-01,6472583060,5.777075342776675e-05,5.777075342776675e-05,,9999.422292465722,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,5550,CAMBODIA,353568,2021-01-01,NA4,3344,2021-01-01,6472583060,5.462548672183436e-05,5.462548672183436e-05,,9999.453745132781,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,5530,LAOS,320106,2021-01-01,NA4,3344,2021-01-01,6472583060,4.9455680527025946e-05,4.9455680527025946e-05,,9999.505443194728,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4623,UKRAINE,260139,2021-01-01,NA4,3344,2021-01-01,6472583060,4.019090950066541e-05,4.019090950066541e-05,,9999.598090904992,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,5170,SAUDI ARABIA,212895,2021-01-01,NA4,3344,2021-01-01,6472583060,3.289181429214444e-05,3.289181429214444e-05,,9999.67108185708,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4239,LUXEMBOURG,203450,2021-01-01,NA4,3344,2021-01-01,6472583060,3.143258234217237e-05,3.143258234217237e-05,,9999.685674176579,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,3370,CHILE,178712,2021-01-01,NA4,3344,2021-01-01,6472583060,2.761061516605706e-05,2.761061516605706e-05,,9999.723893848339,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,2050,GUATEMALA,158334,2021-01-01,NA4,3344,2021-01-01,6472583060,2.4462258503639813e-05,2.4462258503639813e-05,,9999.755377414964,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4622,BELARUS,157916,2021-01-01,NA4,3344,2021-01-01,6472583060,2.4397678413106373e-05,2.4397678413106373e-05,,9999.756023215868,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,7910,SOUTH AFRICA,153031,2021-01-01,NA4,3344,2021-01-01,6472583060,2.3642956541680904e-05,2.3642956541680904e-05,,9999.763570434583,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,5200,UNITED ARAB EMIRATES,130166,2021-01-01,NA4,3344,2021-01-01,6472583060,2.0110363790372124e-05,2.0110363790372124e-05,,9999.798896362096,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4794,MACEDONIA,123861,2021-01-01,NA4,3344,2021-01-01,6472583060,1.9136255008522055e-05,1.9136255008522055e-05,,9999.808637449914,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,2150,HONDURAS,121086,2021-01-01,NA4,3344,2021-01-01,6472583060,1.870752354624863e-05,1.870752354624863e-05,,9999.812924764537,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4490,LATVIA,91605,2021-01-01,NA4,3344,2021-01-01,6472583060,1.4152773189750307e-05,1.4152773189750307e-05,,9999.858472268103,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,7790,KENYA,87201,2021-01-01,NA4,3344,2021-01-01,6472583060,1.3472364771785562e-05,1.3472364771785562e-05,,9999.865276352282,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,7690,RWANDA,85654,2021-01-01,NA4,3344,2021-01-01,6472583060,1.3233356637682143e-05,1.3233356637682143e-05,,9999.867666433622,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4801,SERBIA,73598,2021-01-01,NA4,3344,2021-01-01,6472583060,1.1370730868612445e-05,1.1370730868612445e-05,,9999.886292691313,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,2450,HAITI,64377,2021-01-01,NA4,3344,2021-01-01,6472583060,9.946106431270733e-06,9.946106431270733e-06,,9999.900538935688,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,5350,PAKISTAN,53620,2021-01-01,NA4,3344,2021-01-01,6472583060,8.284173335892271e-06,8.284173335892271e-06,,9999.91715826664,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4633,GEORGIA,39133,2021-01-01,NA4,3344,2021-01-01,6472583060,6.0459633560886275e-06,6.0459633560886275e-06,,9999.939540366438,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,3570,ARGENTINA,31948,2021-01-01,NA4,3344,2021-01-01,6472583060,4.935896488905003e-06,4.935896488905003e-06,,9999.950641035111,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,2487,ST LUCIA,24958,2021-01-01,NA4,3344,2021-01-01,6472583060,3.8559566974486996e-06,3.8559566974486996e-06,,9999.961440433024,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,7644,SAO TOME AND PRINCIPE,24611,2021-01-01,NA4,3344,2021-01-01,6472583060,3.8023459524364916e-06,3.8023459524364916e-06,,9999.961976540475,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,3310,ECUADOR,23117,2021-01-01,NA4,3344,2021-01-01,6472583060,3.571526203017934e-06,3.571526203017934e-06,,9999.96428473797,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,5460,BURMA,18987,2021-01-01,NA4,3344,2021-01-01,6472583060,2.9334501888956832e-06,2.9334501888956832e-06,,9999.970665498111,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,5660,MACAU,18750,2021-01-01,NA4,3344,2021-01-01,6472583060,2.896834204550169e-06,2.896834204550169e-06,,9999.971031657955,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,7950,ESWATINI,16229,2021-01-01,NA4,3344,2021-01-01,6472583060,2.5073451896343837e-06,2.5073451896343837e-06,,9999.974926548104,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4000,ICELAND,15286,2021-01-01,NA4,3344,2021-01-01,6472583060,2.3616537413735407e-06,2.3616537413735407e-06,,9999.976383462586,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,2440,CAYMAN ISLANDS,15000,2021-01-01,NA4,3344,2021-01-01,6472583060,2.3174673636401355e-06,2.3174673636401355e-06,,9999.976825326363,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,2777,CURACAO,9988,2021-01-01,NA4,3344,2021-01-01,6472583060,1.5431242685358447e-06,1.5431242685358447e-06,,9999.984568757314,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,7410,MAURITANIA,9499,2021-01-01,NA4,3344,2021-01-01,6472583060,1.4675748324811765e-06,1.4675748324811765e-06,,9999.985324251675,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,7550,GABON,9344,2021-01-01,NA4,3344,2021-01-01,6472583060,1.4436276697235617e-06,1.4436276697235617e-06,,9999.985563723301,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,6862,NAURU,8720,2021-01-01,NA4,3344,2021-01-01,6472583060,1.347221027396132e-06,1.347221027396132e-06,,9999.986527789726,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,7450,MALI,8670,2021-01-01,NA4,3344,2021-01-01,6472583060,1.3394961361839982e-06,1.3394961361839982e-06,,9999.986605038637,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,3350,BOLIVIA,8221,2021-01-01,NA4,3344,2021-01-01,6472583060,1.2701266130990368e-06,1.2701266130990368e-06,,9999.987298733868,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,2410,JAMAICA,7836,2021-01-01,NA4,3344,2021-01-01,6472583060,1.2106449507656067e-06,1.2106449507656067e-06,,9999.987893550493,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,7290,EGYPT,7490,2021-01-01,NA4,3344,2021-01-01,6472583060,1.157188703577641e-06,1.157188703577641e-06,,9999.988428112963,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,2080,BELIZE,5112,2021-01-01,NA4,3344,2021-01-01,6472583060,7.897928775285581e-07,7.897928775285581e-07,,9999.992102071225,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,5180,QATAR,5000,2021-01-01,NA4,3344,2021-01-01,6472583060,7.724891212133784e-07,7.724891212133784e-07,,9999.992275108787,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,2250,PANAMA,4800,2021-01-01,NA4,3344,2021-01-01,6472583060,7.415895563648433e-07,7.415895563648433e-07,,9999.992584104437,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4641,MOLDOVA,4060,2021-01-01,NA4,3344,2021-01-01,6472583060,6.272611664252633e-07,6.272611664252633e-07,,9999.993727388335,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,5230,OMAN,4000,2021-01-01,NA4,3344,2021-01-01,6472583060,6.179912969707028e-07,6.179912969707028e-07,,9999.99382008703,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4272,MONACO,3965,2021-01-01,NA4,3344,2021-01-01,6472583060,6.125838731222091e-07,6.125838731222091e-07,,9999.99387416127,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,4631,ARMENIA,2910,2021-01-01,NA4,3344,2021-01-01,6472583060,4.4958866854618625e-07,4.4958866854618625e-07,,9999.995504113314,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,6040,PAPUA NEW GUINEA,2817,2021-01-01,NA4,3344,2021-01-01,6472583060,4.352203708916174e-07,4.352203708916174e-07,,9999.995647796291,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,7830,TANZANIA,2800,2021-01-01,NA4,3344,2021-01-01,6472583060,4.325939078794919e-07,4.325939078794919e-07,,9999.99567406092,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,3150,SURINAME,2371,2021-01-01,NA4,3344,2021-01-01,6472583060,3.6631434127938405e-07,3.6631434127938405e-07,,9999.996336856586,0.11345182795025806,0.6798128523359576,104,74.4,99.9,98.1,54.1
3344,5570,MALAYSIA,1260344847,2021-02-01,NA4,3344,2021-02-01,6041292079,0.2086217369593926,0.20951081248783082,,7913.782630406074,0.10425941452105253,0.63658199267806,124,74.6,101.4,98.2,54.1
3344,5700,CHINA,732882747,2021-02-01,NA4,3344,2021-02-01,6041292079,0.12131225198456425,0.12447166936516238,,8786.877480154357,0.10425941452105253,0.63658199267806,124,74.6,101.4,98.2,54.1
3344,5830,TAIWAN,715404109,2021-02-01,NA4,3344,2021-02-01,6041292079,0.1184190566595514,0.12495504940772384,,8815.809433404485,0.10425941452105253,0.63658199267806,124,74.6,101.4,98.2,54.1
3344,5800,"KOREA, SOUTH",672464160,2021-02-01,NA4,3344,2021-02-01,6041292079,0.11131131407096466,0.12300173061371772,,8886.886859290353,0.10425941452105253,0.63658199267806,124,74.6,101.4,98.2,54.1
3344,5520,VIETNAM,464681887,2021-02-01,NA4,3344,2021-02-01,6041292079,0.07691763300358714,0.07625816063257403,,9230.82366996413,0.10425941452105253,0.63658199267806,124,74.6,101.4,98.2,54.1
3344,2010,MEXICO,420997249,2021-02-01,NA4,3344,2021-02-01,6041292079,0.06968662390342276,0.07011604725439284,,9303.133760965773,0.10425941452105253,0.63658199267806,124,74.6,101.4,98.2,54.1
3344,5880,JAPAN,412452715,2021-02-01,NA4,3344,2021-02-01,6041292079,0.06827226851582258,0.06453586766820761,,9317.277314841775,0.10425941452105253,0.63658199267806,124,74.6,101.4,98.2,54.1
3344,5650,PHILIPPINES,193612968,2021-02-01,NA4,3344,2021-02-01,6041292079,0.03204827137443225,0.03295076319966399,,9679.517286255677,0.10425941452105253,0.63658199267806,124,74.6,101.4,98.2,54.1
3344,5490,THAILAND,180111556,2021-02-01,NA4,3344,2021-02-01,6041292079,0.029813416342851846,0.028958509848884813,,9701.865836571482,0.10425941452105253,0.63658199267806,124,74.6,101.4,98.2,54.1
3344,4190,IRELAND,169152331,2021-02-01,NA4,3344,2021-02-01,6041292079,0.0279993631805995,0.01846039506934779,,9720.006368194005,0.10425941452105253,0.63658199267806,124,74.6,101.4,98.2,54.1
