month,hs_code,hs_desc,hhi,c3_share,supplier_count,risk_cluster,risk_cluster_label
2022-08-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1618869073312329,0.5695354724590557,88,0,lower concentration/broad supplier base
2022-08-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2398187801953646,0.765001778786954,57,1,elevated concentration
2022-08-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1638699604765496,0.5975131135001842,55,2,lower concentration/moderate breadth
2022-08-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.139373550752784,0.543713087161301,93,0,lower concentration/broad supplier base
2022-09-01,853400,PRINTED CIRCUITS,0.1848456862348943,0.6540309279565673,77,0,lower concentration/broad supplier base
2022-09-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1786447445864894,0.6070522817155568,91,0,lower concentration/broad supplier base
2022-09-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2530622314292043,0.8086728958186253,60,1,elevated concentration
2022-09-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1953503667479122,0.6180551215783884,57,2,lower concentration/moderate breadth
2022-09-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1468970646173368,0.588850548192182,99,0,lower concentration/broad supplier base
2022-10-01,853400,PRINTED CIRCUITS,0.2004527840674398,0.6857519920527442,79,0,lower concentration/broad supplier base
2022-10-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.2024278337769305,0.6402598628344005,94,0,lower concentration/broad supplier base
2022-10-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2233006565789635,0.763413815236317,60,1,elevated concentration
2022-10-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1972134589897885,0.6227391404135137,57,2,lower concentration/moderate breadth
2022-10-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1427708835642942,0.5596352353916878,99,0,lower concentration/broad supplier base
2022-11-01,853400,PRINTED CIRCUITS,0.1960237998930336,0.670010995102809,80,0,lower concentration/broad supplier base
2022-11-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1788910346027614,0.5818999386296646,95,0,lower concentration/broad supplier base
2022-11-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2529855505772865,0.802909432486928,62,1,elevated concentration
2022-11-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1813737703786415,0.6353560385803612,58,2,lower concentration/moderate breadth
2022-11-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1656168909680396,0.6046181095832115,104,0,lower concentration/broad supplier base
2022-12-01,853400,PRINTED CIRCUITS,0.1744486257964032,0.6454067189079494,82,0,lower concentration/broad supplier base
2022-12-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1589055909637429,0.5765799494838082,96,0,lower concentration/broad supplier base
2022-12-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.1986692201391593,0.7331258443552569,65,1,elevated concentration
2022-12-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1786313393012876,0.6056029819227596,58,2,lower concentration/moderate breadth
